Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
Table: DT_ServerAnimationData, Prop: serveranimdata.m_flCycle, Offset: 0x1A10
